溪流名稱,別名
邦腹南溪,
邦腹溪,
里仁溪,汝仍溪
里仁溪,
里仁溪(汝仍溪),
亞知巴溪,
佳山溪,
佳冬溪,
佳平溪,
佳佐圳,
佳佳站溪,
佳保溪,
來布安溪,
來社溪,
依仁溝,
兔子坑溪排水,鶯歌溪
典寶溪,
典寶溪排水,典寶溪
刺仔埔,
卑南大溪,
卑南溪,
卓棍溪,
卓溪,
和平北溪,大濁水北溪
和平北溪,
和平北溪(大濁水溪北,
和平南溪,大濁水南溪
和平南溪,
和平南溪(大濁水南溪),
和平南溪(大濁水溪南,
和平溪,
和平溪,大濁水溪
和平溪(大濁水溪),
和社溪,
和興坑排水,
和興溪,
咕咾坑,
坡內埤,
坡瓜子埤,
坡頭漁港,
坦水坑溪,
坪林坑,
坪頂坑,
坪溪,
坪瀨溪,
奄江岸坑,
奇美西溪,
奇美東溪,
奇美溪,
奇萊溪,柴田溪
奇萊溪,
奇萊溪(柴田溪),
姑子崙溪,
姑娘溪,
姑婆寮溪,
官田溪,
宜蘭河,
宜蘭河,宜蘭溪
岡山仔溪,
岡山溪,
岡林溪,
帖布帖開溪,
帖畢倫溪,
幸原溪,
幸福川,
店子岡崁下圳,
店子埤,
怕怕西溪,
怡勘溪,
怡堪溪,知亞干溪
怡堪溪(知亞干溪),
房裡溪,
抬耀溪,
抵美簡圳,
抽藤坑,
抽藤坑溪,
拉巴丸溪,
拉巴薩巴溪,
拉巴灣溪,
拉克斯溪,
拉里吧溪,
拉庫邦溪,
拉庫音溪,
拉濫溪,
拓榴溝,
拔下二溪,
拔子溪,
拔仔岡溪,
拔西猴溪,
拔馬坑,
拔馬坑溪,
放生湖,
斧頭坑溪,
旺萊溪,
昆明湖,
昌坑溝,
明德水庫,
東天湖坑,
東水坑,
東卯溪,
東石漁港,
東光溪,木屐蘭溪
東光溪,
東光溪(木屐蘭溪),
東圳支線,
東坑,
東汴坑溪,
東武荖坑溪,
東河,
東門溪,
東洗水溪,
東埔圳,
東埔蚋溪,
東埔溪,
東峰溪,
東海湖,
東清北溪,
東清溪,
東眼溪,
東莊溪,東庄溪
東莊溪,
東鹿坑溪,
東港溪,
東港漁港,
東湖,
東勢川,
東勢坑,
東勢坑溪,
東勢格溪,
東勢湖坑,
東勢溪,
東勢閣坑,
東勢閣溪,
東新陂,
東膏蚋坑,
東廣寮溪,
東澳北溪,東澳溪
東澳北溪,
東澳南溪,
東澳溪,
東澳漁港,
東螺溪,"舊濁水溪,北斗溪,麥嶼溪,麥嶼厝溪"
東螺溪,
東壘溪,
東巒大山西游,
松子港,
松子腳溪,彎崎溪
松子腳溪,
松子腳溪(彎崎溪),
松山溪,
松柏坑,
松柏坑溪,
松柏港,
松風溪,
松溪,
松羅溪,
松蘿溪,
枋子坑溝,
枋子崙溪,
枋子頭坑,
枋山溪,
枋仔寮溪,
枋脚溪,
枋溪,
枋腳溪,
枋寮一圳,
枋寮大圳,
枋寮溪,
枋寮漁港,
林口溪,
林子坑,
林子排水,
林子溪,"公司田溪,楓樹湖溪,北投溪"
林子溪,
林子頭溪,
林內圳,
林內溪,
林初埤,
林尾溪,
林祿溪,
林邊溪,
武拉庫散溪,拉庫散溪
武拉庫散溪,
武洛溪,
武界水庫,
武荖坑溪,
武鹿溪,
武雲溪,
武榮山坑,
武營溪,
河內溪,大農溪
河內溪,
油車坑,
油車溪,
油羅溪,
泊子寮漁港,
法落安溪,
波浪溪,
波羅汶溪,
泥水北溪,
泥水南溪,
泥水溪,
狗寮溪,
直坑,
直瀨溪,
知本溪,
社子南圳,
社子溪,
社皆坑溪,
社苓溪,
社厝坑圳,
社寮坑,
空埔溝,
羌子寮溪,
芙登溪,
芭拉溪,
芭樂坑,
芭樹埤排水,
芭蕉溪,
花草坑,
花草坑溪,
花園溪,
花蓮港,
花蓮溪,
芳美圳,
虎仔坑,
虎穴仔溝,
虎地坑,
虎尾溪,
虎形溝,
虎頭埤,
虎頭溪排水,虎頭溪
金大安埤(大湖埤),
金子坑,
金包里溪,
金瓜坑,
金瓜溪,
金瓜寮坑,
金瓜寮溪,
金長源圳,
金城湖,
金面溪,
金崙溪,
金湖漁港,
金獅湖,
金樽港,
金龍湖,
金龍湖(大埤池),
長田岸圳,
長枝坑溪,
長城溪,
長埤,
長埤(桃園大圳第十一,
長崎埤,
長寮圳,
長潭里漁港,
長濱船澳,
長濱溪,
長雙坑,
阿士文溪,
阿寸溪,
阿公店水庫,
阿公店溪,
阿玉溪,
阿西福壽池,
阿冷坑,
阿冷坑溪,
阿里山溪,
阿里不動溪,
