項次,縣市別,執行機關,工程名稱,"TWD97座標
(X)","TWD97座標
(Y)","總經費
(千元)","總中央款
(千元)","總地方款
(千元)",備註,,
59,嘉義縣,嘉義縣政府,溪口鄉埤子頭排水崙尾段應急工程,183373.068,2608000.589," 8,000 "," 7,200 ", 800 ,,,
60,嘉義縣,嘉義縣政府,朴子溪支流系統-東灣橋排水下厝坑段改善應急工程,200639,2598651," 3,500 "," 3,150 ", 350 ,,,
61,嘉義縣,嘉義縣政府,八掌溪支流排水系統-公館排水新福德橋上游加高改善應急工程,193836,2592936," 9,000 "," 8,100 ", 900 ,,,
62,嘉義縣,嘉義縣政府,荷苞嶼排水右岸(洲仔六號橋上游)護岸改善應急工程,167459,2594289," 10,000 "," 9,000 "," 1,000 ",,,
63,嘉義縣,嘉義縣政府,大林鎮中林里大埔美排水德蘭橋上游段應急工程,194840,2609576," 4,500 "," 4,050 ", 450 ,,,
64,嘉義縣,嘉義縣政府,新港鄉民雄排水(行農橋下游)右岸應急工程,187369,2607207," 5,952 "," 5,357 ", 595 ,,,
65,臺南市,臺南市政府,下營區下營排水出口段大溪橋應急工程,174945,2568865," 110,000 "," 85,800 "," 24,200 ",,,
66,臺南市,臺南市政府,學甲區新田寮排水出口應急工程,163415,2576248," 2,000 "," 1,560 ", 440 ,,,
67,臺南市,臺南市政府,將軍區溪墘寮部落防護應急工程,161626,2569707," 17,500 "," 13,650 "," 3,850 ",,,
68,臺南市,臺南市政府,後壁區菁寮抽水站設備更新應急工程,177305.02,2583883.759," 11,500 "," 8,970 "," 2,530 ",,,
69,臺南市,臺南市政府,後壁區下茄苳排水頂寮橋上游應急工程,184163.628,2582364.083," 9,000 "," 7,020 "," 1,980 ",,,
70,臺南市,臺南市政府,善化區山上排水2K+950左岸應急工程,181654.645,2557021.027," 8,000 "," 6,240 "," 1,760 ",,,
71,臺南市,臺南市政府,官田區湖山排水支流(新官田段339號)護岸應急工程,181851,2565468," 9,300 "," 7,254 "," 2,046 ",,,
72,高雄市,高雄市政府,北屋上游(1k+360~1k+760)第一期新設護岸應急工程,181701,2509257," 28,000 "," 21,840 "," 6,160 ",,,
73,高雄市,高雄市政府,岡山區石螺潭抽水站設施改善應急工程,175421.85,2518974.165," 10,000 "," 7,800 "," 2,200 ",,,
74,高雄市,高雄市政府,旗山區第五號排水華中街分流箱涵閘門改善應急工程,197233,2531959," 4,000 "," 3,120 ", 880 ,,,
75,高雄市,高雄市政府,仁武及鳥松區曹公新圳排水約1K+198~4K+274護岸加高應急工程,184540,2507300," 24,608 "," 19,194 "," 5,414 ",,,
76,高雄市,高雄市政府,路竹區三公路排水應急工程,170303,2528894," 13,500 "," 10,530 "," 2,970 ",,,
77,高雄市,高雄市政府,茄萣區崎漏路正順宮周邊海水溢淹改善應急工程,166977,2531617," 9,200 "," 7,176 "," 2,024 ",,,
78,高雄市,高雄市政府,彌陀區各抽水站設施改善應急工程,171413.458,2521468.84," 15,600 "," 12,168 "," 3,432 ",,,
79,高雄市,高雄市政府,鎮東三街抽水站設備改善應急工程,179293,2498991," 2,000 "," 1,560 ", 440 ,,,
80,高雄市,高雄市政府,旗山區二仁圳下游分洪應急工程,198407,2536551," 36,100 "," 28,158 "," 7,942 ",,,
81,高雄市,高雄市政府,大寮區林園排水13k+241~13K+281(高英工商旁)護岸改善應急工程,188414,2499383," 3,000 "," 2,340 ", 660 ,,,
82,高雄市,高雄市政府,高雄市路竹區客人埤排水(高科交流道上游段)護岸改善應急工程,176592,2527089," 4,500 "," 3,510 ", 990 ,,,
83,高雄市,高雄市政府,高雄市路竹區後鄉排水(新興路262巷上游)護岸改善續辦應急工程,171861.207,2527101.877," 6,000 "," 4,680 "," 1,320 ",,,
84,屏東縣,屏東縣政府,五號排水支線上游護岸應急工程,202346.521,2514522.741," 3,000 "," 2,700 ", 300 ,,,
85,屏東縣,屏東縣政府,林邊抽水站設備整修更新工程,197489.017,2482690.134," 15,000 "," 13,500 "," 1,500 ",,,
86,屏東縣,屏東縣政府,林邊鄉放索溝抽水站應急改善(第三期)工程,199816.471,2480061.809," 15,000 "," 13,500 "," 1,500 ",,,
87,屏東縣,屏東縣政府,番子崙排水幹線(3K+426~3K+709)應急工程,207674,2477266," 13,000 "," 11,700 "," 1,300 ",,,
88,屏東縣,屏東縣政府,內埔鄉新莊圳排水應急工程,207435,2502501," 8,000 "," 7,200 ", 800 ,,,
89,屏東縣,屏東縣政府,鹽埔鄉大仁東街易淹水區應急改善工程,202870,2514018," 10,100 "," 9,090 "," 1,010 ",,,
90,屏東縣,屏東縣政府,里港鄉三部村卓加社區排水應急工程,199712.962,2522604.917," 14,000 "," 12,600 "," 1,400 ",,,
91,臺東縣,臺東縣政府,永樂排水(1K+332~1K+802)應急工程,263091.3,2515143.8," 29,998 "," 26,998 "," 3,000 ",,,
92,臺東縣,臺東縣政府,永樂排水(1K+802~2K+192)應急工程,263372.96,2514796.596," 22,222 "," 20,000 "," 2,222 ",,,
93,花蓮縣,花蓮縣政府,108年樹湖溪排水應急工程(豐山村及壽豐村第一段),299087.91,2638029.544," 11,444 "," 10,300 "," 1,144 ",,,
94,花蓮縣,花蓮縣政府,108年樹湖溪排水應急工程(壽豐村第二段),300812.83,2639962.55," 8,000 "," 7,200 ", 800 ,,,
95,花蓮縣,花蓮縣政府,108年樹湖溪排水應急工程(壽豐村第三段),300395.937,2639761.738," 6,667 "," 6,000 ", 667 ,,,
96,金門縣,金門縣政府,金寧鄉區域排水護岸改善應急工程,181953,2706894," 14,000 "," 10,920 "," 3,080 ",,,
