name,alt,city,town
興仁溪,,新北市,"淡水區,三芝區"
港子溪,,屏東縣,"滿州鄉,牡丹鄉"
薯寮溪,"蕃寮溪,蕃薯寮溪",花蓮縣,"豐濱鄉,壽豐鄉"
鹿港溪,"員林大排水,大武郡溪",彰化縣,鹿港鎮
東螺溪,"舊濁水溪,北斗溪,麥嶼溪,麥嶼厝溪",彰化縣,"溪州鄉,北斗鎮,田尾鄉,埤頭鄉,二林鎮,溪湖鎮,埔鹽鄉,福興鄉"
白米溪,白米河,宜蘭縣,蘇澳鎮
蒼庫溪,倉庫溪,南投縣,信義鄉
大東河,東河溪,苗栗縣,南庄鄉
大羅蘭溪,,新北市,烏來區
楓溪,,宜蘭縣,南澳鄉
武拉庫散溪,拉庫散溪,臺東縣,海端鄉
雪山溪,次高溪,苗栗縣,泰安鄉
崎腳溪,,嘉義縣,竹崎鄉
大塭寮排水,三股溪,臺南市,七股區
內田排水排水路,鹿草溪,嘉義縣,布袋鎮
匹亞桑溪,,臺中市,和平區
扎孔溪,"札孔溪,軋孔溪",新北市,烏來區
石龜溪,,嘉義縣,"溪口鄉,大林鎮,雲林縣斗南鎮,古坑鄉,嘉義縣梅山鄉"
虎頭溪排水,虎頭溪,臺南市,新化區
柴頭港溪排水,柴頭港溪,臺南市,"東區,北區"
將軍溪排水,將軍溪,臺南市,將軍區
排谷溪,排骨溪,宜蘭縣,大同鄉
港尾子溪排水,港尾子溪,臺中市,西屯區
港尾溝溪排水,港尾溝溪,臺南市,仁德區
暖暖溪,,基隆市,暖暖區
楠溪,,臺東縣,關山鎮
碧水溪,,宜蘭縣,大同鄉
八掌溪,,嘉義縣,"中埔鄉,番路鄉,義竹鄉,鹿草鄉,竹崎鄉,布袋鎮"
八掌溪,,嘉義市,"東區,西區"
八掌溪,,臺南市,"鹽水區,後壁區,北門區"
七里溪,十里溪,屏東縣,獅子鄉
丹大溪,,南投縣,信義鄉
塔克金溪,,新竹縣,尖石鄉
大豹溪,,新北市,三峽區
大里溪,,臺中市,大里區
寧埔溪,,臺東縣,長濱鄉
寶斗溪,,新北市,林口區
智慧溪,,新北市,汐止區
柳川,,臺中市,"豐原區,潭子區,烏日區"
指南溪,,臺北市,文山區
郡大溪,,南投縣,信義鄉
石盤溪,,屏東縣,"枋山鄉,獅子鄉"
烏萬溪,,臺東縣,"大武鄉,達仁鄉"
真柄溪,馬海溪,臺東縣,長濱鄉
達仁溪,,臺東縣,達仁鄉
豐濱溪,,花蓮縣,豐濱鄉
牛角灣溪,,屏東縣,"瑪家鄉,內埔鄉"
白樹腳溪,,嘉義縣,竹崎鄉
吧沙加魯溪,,屏東縣,滿州鄉
大雪溪,,苗栗縣,泰安鄉
烏石坑溪,,臺中市,和平區
霞喀羅溪,,新竹縣,五峰鄉
秀巒溪,,花蓮縣,"富里鄉,卓溪鄉"
鹽水坑溪,,苗栗縣,獅潭鄉
留茂安溪,,宜蘭縣,大同鄉
鹿耳門溪,,臺南市,安南區
馬達拉溪,,苗栗縣,泰安鄉
馬佛溪,,花蓮縣,光復鄉
馬加祿溪,,花蓮縣,富里鄉
碼崙溪,,宜蘭縣,大同鄉
南河溪,,苗栗縣,南庄鄉
愛河,,高雄市,"仁武區,三民區,左營區,鼓山區,前金區,鹽埕區"
內雙溪,,臺北市,士林區
大坡溪,,臺東縣,池上鄉
內茅埔溪,,南投縣,信義鄉
天狗溪,田古爾溪,宜蘭縣,大同鄉
木坑溪,,臺東縣,鹿野鄉
牛稠埔溪,,高雄市,田寮區
加納富溪,,宜蘭縣,大同鄉
加蘭溪,,宜蘭縣,大同鄉
永定溪,,新北市,石碇區
石厝坑溪,,基隆市,七堵區
石哢溪,,嘉義縣,中埔鄉
竹崙溪,,新北市,三峽區
沙里仙溪,,南投縣,東埔鄉
卓棍溪,,南投縣,信義鄉
和社溪,,南投縣,信義鄉
坪溪,,新北市,雙溪區
林祿溪,,屏東縣,滿州鄉
河內溪,大農溪,花蓮縣,光復鄉
泥水溪,,臺東縣,池上鄉
芭蕉溪,,雲林縣,"斗六市,古坑鄉"
金面溪,,宜蘭縣,頭城鎮
後坑子溪,後坑溪,新北市,石碇區
密枝溪,,臺南市,楠西區
梵梵溪,,宜蘭縣,大同鄉
筆石溪,,南投縣,信義鄉
樂合溪,,花蓮縣,玉里鎮
頭城溪,,宜蘭縣,頭城鎮
貴子坑溪,,臺北市,北投區
磺港溪,,臺北市,北投區
城埔溪,,臺東縣,長濱鄉
大堀溪,,桃園市,"觀音區,新屋區,中壢區,楊梅區"
林口溪,,新北市,林口區
桶後溪,,新北市,烏來區
樹梅坑溪,,新北市,淡水區
橫溪,,新北市,三峽區
草濫溪,,新北市,汐止區
金瓜寮溪,,新北市,坪林區
富家溪,,臺東縣,成功鎮
都蘭溪,,臺東縣,東河鄉
良里溪,"大清水溪,和仁溪,卡那剛溪,卡那岡溪",花蓮縣,秀林鄉
竹湖溪,,臺東縣,長濱鄉
里仁溪,,屏東縣,牡丹鄉
通霄溪,,苗栗縣,通霄鎮
白石溪,薩克亞金溪,新竹縣,尖石鄉
